_id,partner,course,skills,rating,reviewCount,level,certificateType,duration,creditEligibility
66fe20076f4453256b07a997,University of Colorado Boulder,Probability Theory: Foundation for Data Science,"[' Probability & Statistics', ' General Statistics', ' Probability Distribution', ' Correlation And Dependence', ' Mathematics']",4.4,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a998,Stanford University,Introduction to Logic,"[' Computational Logic', ' Mathematics', ' Problem Solving', ' Critical Thinking']",4.4,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a999,Wesleyan University,Schizophrenia,['(2.1k reviews)'],4.8,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a99a,University of Michigan,High Stakes Leadership: Leading in Times of Crisis,"[' Leadership and Management', ' Leadership Development', ' Entrepreneurship', ' Business Psychology', ' Finance', ' Human Resources', ' Human Resources Operations', ' Organizational Development', ' Risk Management', ' Communication', ' Change Management']",4.7,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a99b,Google Cloud,Building Scalable Java Microservices with Spring Boot and Spring Cloud,"[' Cloud Applications', ' Cloud Computing', ' Cloud Infrastructure', ' Cloud Platforms', ' Google App Engine', ' Google Cloud Platform', ' Java Programming', ' Kubernetes']",4.3,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a99c,Macquarie University,Excel Fundamentals for Data Analysis,"[' Business Analysis', ' Spreadsheet Software', ' Data Analysis', ' Leadership and Management', ' Microsoft Excel']",4.8,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a9fe,Coursera Project Network,ChatGPT for Beginners: Save time with Microsoft Excel,"[' Data Management', ' Microsoft Excel']",4.6,0,Intermediate , Guided Project , Less Than 2 Hours,False
66fe20086f4453256b07aae3,IBM,IBM Applied DevOps Engineering,"[' DevOps', ' Software Engineering', ' Cloud Computing', ' Continuous Delivery', ' Continuous Integration', ' Application Development', ' Cloud Applications', ' Software Architecture', ' Security Engineering', ' Computer Programming', ' Kubernetes', ' Cloud Infrastructure', ' Cloud-Based Integration', ' Microarchitecture', ' Software Testing', ' Agile Software Development', ' IBM Cloud', ' Docker (Software)', ' Scrum (Software Development)', ' Software Security', ' Leadership and Management']",4.7,0,Intermediate , Professional Certificate , 3 - 6 Months,False
66fe20086f4453256b07aae4,IBM,IBM AI Engineering,"[' Machine Learning', ' Deep Learning', ' Human Learning', ' Artificial Neural Networks', ' Python Programming', ' Machine Learning Algorithms', ' Applied Machine Learning', ' Algorithms', ' Machine Learning Software', ' Regression', ' Statistical Machine Learning', ' Network Model', ' Computer Vision', ' Apache', ' Big Data', ' Data Analysis', ' Mathematical Theory & Analysis', ' Computer Programming', ' Network Architecture', ' Data Visualization', ' Extract', ' Transform', ' Load', ' Plot (Graphics)', ' Tensorflow', ' Visualization (Computer Graphics)', ' Customer Analysis', ' Decision Making', ' Dimensionality Reduction', ' Data Science']",4.6,0,Intermediate , Professional Certificate , 3 - 6 Months,False
66fe20086f4453256b07aae5,DeepLearning.AI,DeepLearning.AI TensorFlow Developer,"[' Machine Learning', ' Tensorflow', ' Deep Learning', ' Machine Learning Algorithms', ' Artificial Neural Networks', ' Applied Machine Learning', ' Human Learning', ' Computer Programming', ' Python Programming', ' Machine Learning Software', ' Natural Language Processing', ' Computer Vision', ' Forecasting', ' Algorithms', ' Data Visualization', ' Network Model', ' Statistical Machine Learning', ' Statistical Analysis']",4.7,0,Intermediate , Professional Certificate , 3 - 6 Months,False
